year	duration_min	rating	name_rus	director	name_eng	vote_count	main_actors
2015	93	4.466	Вуаль	Фил Джоану	The Veil	1716	['Джессика Альба', 'Лили Рэйб']
2014	96	4.462	Добро пожаловать в рай	Брайан А Миллер	Vice	4835	['Эмбир Чилдерс', 'Томас Джейн']
2016	85	4.442	Комната разочарований	Ди Джей Карузо	The Disappointments Room	1594	['Кейт Бекинсейл', 'Мел Райдо']
2013	85	4.441	Ночной огонёк	Скотт Бек	Nightlight	501	['Шелби Янг', 'Картер Дженкинс']
2015	101	4.439	Дорога в Голливуд	Эндрю Моугел	The D Train	1170	['Джек Блэк', 'Джеймс Марсден']
2014	90	4.425	Железный кулак 2 (видео)	Роэль Рейн	The Man with the Iron Fists 2	770	['RZA', 'Кэри-Хироюки Тагава']
2015	120	4.407	Пятьдесят оттенков серого	Сэм Тейлор-Джонсон	Fifty Shades of Grey	114807	['Джейми Дорнан', 'Дакота Джонсон']
2013	84	4.4	Паранормальное явление: Метка Дьявола	Кристофер Лэндон	Paranormal Activity: The Marked Ones	11368	['Эндрю Джейкобс', 'Хорхе Диас']
2016	86	4.396	Квест	Питер Дьюкс	Escape Room	1737	['Скит Ульрих', 'Шон Янг']
2012	97	4.372	Повелители Салема	Роб Зомби	The Lords of Salem	3128	['Шери Мун Зомби', 'Брюс Дэвисон']
2015	90	4.339	Последняя девушка	Тайлер Шилдс	Final Girl	2165	['Эбигейл Бреслин', 'Уэс Бентли']
2014	88	4.327	Раз нашла – беру себе (ТВ)	Александр Йеллен	Finders Keepers	840	['Джейми Прессли', 'Кайли Роджерс']
2013	88	4.324	Битва проклятых	Кристофер Хаттон	Battle of the Damned	797	['Дольф Лундгрен', 'Мелани Занетти']
2014	94	4.316	Умирающий свет	Пол Шредер	Dying of the Light	1147	['Николас Кейдж', 'Антон Ельчин']
2012	91	4.31	Плохие дети отправляются в ад	Мэттью Спрэдлин	Bad Kids Go to Hell	531	['Камерон Дин Стюарт', 'Бен Браудер']
2015	81	4.304	Виселица	Трэвис Клафф	The Gallows	6860	['Риз Мишлер', 'Пфайфер Браун']
2015	80	4.294	Крыса	Бренден Крамер	Ratter	929	['Эшли Бенсон', 'Мэтт МакГорри']
2015	83	4.285	Спасение	Стивен С. Миллер	Extraction	1566	['Брюс Уиллис', 'Келлан Латс']
2013	82	4.283	Холостячки в Вегасе	Джейсон Фридберг	Best Night Ever	2116	['Дезри Холл', 'Эдвина Ричард']
2014	88	4.25	Прогулка с мертвецами	Скотт Дау	Walking with the Dead	507	['Тим Оглтри', 'Джои Оглсби']
2014	90	4.246	Принц	Брайан А Миллер	The Prince	1606	['Джейсон Патрик', 'Брюс Уиллис']
2016	89	4.237	Импульс	Аарон Кауфман	Urge	1648	['Пирс Броснан', 'Джастин Чатвин']
2015	98	4.227	Абатуар. Лабиринт страха	Даррен Линн Боусман	Abattoir	3172	['Джессика Лаундс', 'Джо Андерсон']
2012	94	4.218	Бойся или умри	Майкл Эмануэл	Scary or Die	523	['Билл Оберст мл.', 'Хэли Лула Хадсон']
2012	92	4.214	Слежка	Джей Ананья	The Letter	688	['Вайнона Райдер', 'Джеймс Франко']
2015	95	4.207	Зона 51	Орен Пели	Area 51	1089	['Рейд Уорнер', 'Дэррин Брагг']
2012	97	4.169	Нубы	Блейк Фриман	Noobz	886	['Сабрина Карпентер', 'Каспер Ван Дин']
2012	96	4.165	Мул	Габриела Тальявини	The Mule	529	['Шэрон Стоун', 'Билли Зейн']
2016	99	4.16	Лихорадка	Трэвис Заривны	Cabin Fever	1022	['Гейдж Голайтли', 'Мэттью Даддарио']
2014	90	4.144	Поворот не туда 6	Валерий Милев	Wrong Turn 6: Last Resort	4723	['Энтони Иллот', 'Крис Джарвис']
2012	83	4.143	Охотники на демонов	Дж.Т. Петти	Hellbenders	836	['Клифтон Коллинз мл.', 'Клэнси Браун']
2012	97	4.132	Остров смерти	Кэтрин Аселтон	Black Rock	1297	['Кэтрин Аселтон', 'Лэйк Белл']
2013	100	4.128	Ночь страха 2: Свежая кровь (видео)	Эдуардо Родригез	Fright Night 2	1231	['Уилл Пэйн', 'Джейми Мюррэй']
2014	90	4.124	Не вижу зла 2	Джен Соска	See No Evil 2	1688	['Глен Джейкобс', 'Даниэль Харрис']
2012	95	4.118	Смайли	Майкл Дж. Галлахер	Smiley	1904	['Кейтлин Джерард', 'Мелани Папалиа']
2013	99	4.117	Каньоны	Пол Шредер	The Canyons	2301	['Линдси Лохан', 'Джеймс Дин']
2014	81	4.116	З/Л/О: Новый вирус	Джастин Бенсон	V/H/S Viral	3005	['Патрик Лори', 'Эмилия Арес Зорян']
2014	89	4.086	Пришествие Дьявола	Мэттью Беттинелли	Devil's Due	4149	['Эллисон Миллер', 'Зак Гилфорд']
2012	91	4.084	Поворот не туда 5: Кровное родство (видео)	Деклан О’Брайэн	Wrong Turn 5: Bloodlines	5619	['Даг Брэдли', 'Камилла Арведсон']
2013	92	4.063	Безумные	Кристофер Рузвельт	The Demented	642	['Кайла Юэлл', 'Ричард Конке']
2016	93	4.035	Пятьдесят оттенков черного	Майкл Тиддес	Fifty Shades of Black	12530	['Марлон Уайанс', 'Кали Хоук']
2012	83	4.032	Помощники	Крис Стоукс	The Helpers	1554	['Дастин Хэрниш', 'Кристен Куинтрелл']
2014	91	4.014	Реверс 666	Маркус Ниспел	Exeter	2319	['Стивен Лэнг', 'Кевин Чэпмен']
2013	100	3.96	Ничего не бойся	Энтони Леонарди III	Nothing Left to Fear	845	['Энн Хеч', 'Джеймс Таппер']
2015	92	3.877	Слендер	Джеймс Моран	Always Watching: A Marble Hornets Story	6104	['Крис Маркетт', 'Александра Брекенридж']
2012	79	3.855	Проклятый камень	Шон Стоун	Greystone Park	988	['Шон Стоун', 'Александр Рэйт']
2015	82	3.748	Падший предвестник	Алек Гиллис	Harbinger Down	659	['Лэнс Хенриксен', 'Камилль Бальзамо']
2016	107	3.656	Хроники мстителя	Кристиан Сесма	Vigilante Diaries	784	['Джейсон Мьюз', 'Куинтон Джексон']
2014	99	3.457	Отвязная Калифорния	Марко Вебер	California Scheming	830	['Джина Мантенья', 'Спенсер Дэниелс']
2014	91	3.397	2 спальни, 1 ванная	Стэнли Юнг	2 Bedroom 1 Bath	1125	['Мишель Хикс', 'Эндрю В. Уолкер']
2013	83	3.303	Непристойная комедия	Винс Оффер	InAPPropriate Comedy	1339	['Роб Шнайдер', 'Мишель Родригес']
2012	83	3.29	Пираньи 3DD	Джон Гулагер	Piranha 3DD	13145	['Даниэль Панабэйкер', 'Мэтт Буш']
2013	85	3.233	Похмельные игры	Джош Столберг	The Hungover Games	2837	['Росс Нэйтан', 'Сэм Пэнкейк']
2012	92	3.212	Семь футов	Кевин Каррауэй	7 Below	767	['Мэтт Барр', 'Ребекка Да Коста']
2013	90	3.201	Лепрекон: Начало	Зэк Липовски	Leprechaun: Origins	764	['Дилан Постл', 'Стефани Беннетт']
2012	86	3.145	Нацисты в центре Земли (видео)	Джозеф Дж. Лосон	Nazis at the Center of the Earth	586	['Доминик Суэйн', 'Джейк Бьюзи']
2012	80	2.888	30 ночей паранормального явления с одержимой девушкой с татуировкой дракона	Крэйг Мосс	30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo	1300	['Эшли Мартин', 'Остин Майкл Скотт']
2012	82	2.865	Апартаменты 1303	Мишель Таверна	Apartment 1303 3D	4375	['Миша Бартон', 'Ребекка Де Морнэй']
2012	88	2.826	Угроза из глубины (видео)	Кристофер Рэй	2-Headed Shark Attack	580	['Кармен Электра', 'Чарли О’Коннелл']
2013	86	2.792	Очень паранормальное кино	Роджер Рот	Paranormal Whacktivity	1097	['Уильям Патрик Райли', 'Саша Формосо']
2012	97	2.72	Авраам Линкольн против зомби (видео)	Ричард Шенкман	Abraham Lincoln vs. Zombies	633	['Билл Оберст мл.', 'Кент Инглхарт']
2012	102	2.598	Москва 2017	Джейми Брэдшоу	Branded	17569	['Эд Стоппард', 'Лили Собески']
2012	86	2.569	Песчаные акулы (ТВ)	Марк Аткинс	Sand Sharks	537	['Корин Немек', 'Брук Хоган']
2012	0	1.629	Белый лебедь	Роберт Кромби	88 мин	2199	['Софья Ская', 'Коул Хаузер']
2014	0	0.0	Then There Was	Луис Мэндилор	88 мин	0	['Абрахам Бенруби', 'Костас Мэндилор']
2017	90	0.0	Бесплотные	Харви Лоури	Asomatous	0	['Джек Кэмпбелл', 'Катрин Кресг']
2012	0	0.0	Room 13 Part 2	Хантер Голигоски	55 мин	0	['Хантер Голигоски', 'Madissen Moreau']
2017	0	0.0	Три биллборда на границе Эббинга, Миссури	Мартин МакДона	Three Billboards Outside Ebbing	0	['Фрэнсис МакДорманд', 'Калеб Лэндри Джонс']
2017	0	0.0	Виселица	Джонни Мартин	Hangman	0	['Аль Пачино', 'Карл Урбан']
2013	0	0.0	And Then YOU Die!	Brian Gaillard	86 мин	0	['Чак Смит', 'Элли Черч']
2017	0	0.0	High Wire Act	Брэд Андерсон		0	['Джон Хэмм', 'Розамунд Пайк']
2017	103	0.0	В чем смысл?	Лэйк Белл	I Do... Until I Don't	0	['Лэйк Белл', 'Эд Хелмс']
2017	90	0.0	Кристал	Уильям Х. Мэйси	Krystal	0	['Розарио Доусон', 'Кэти Бейтс']
2017	0	0.0	Кодекс Готти	Кевин Коннолли	Gotti	0	['Келли Престон', 'Джон Траволта']
2017	100	0.0	Вудшок	Кейт Малливи	Woodshock	0	['Кирстен Данст', 'Джо Коул']
2017	0	0.0	Шок и трепет	Роб Райнер	Shock and Awe	0	['Милла Йовович', 'Джеймс Марсден']
2012	0	0.0	Man from Shaolin	Пенг Чжан Ли	87 мин	0	['Пенг Чжан Ли', 'Брайан Эймз']
2017	0	0.0	Супер полицейские 2	Джей Чандрашекхар	Super Troopers 2	0	['Линда Картер', 'Эммануэль Шрики']
2017	102	0.0	Как разговаривать с девушками на вечеринках	Джон Кэмерон Митчелл	How to Talk to Girls at Parties	0	['Николь Кидман', 'Эль Фаннинг']
2017	0	0.0	Kickboxer: Retaliation	Димитри Логотетис		0	['Ален Мусси', 'Кристофер Ламберт']
2012	0	0.0	Ultrasonic	Рохит Колин Рао	90 мин	0	['Сайлэс Гордон Бригхэм', 'Sam Repshas']
2013	0	0.0	99%: The Occupy Wall Street Collaborative Film	Aaron Aites	97 мин	0	['Наоми Вульф', 'Бутс']
2014	103	0.0	Когда наступает ночь	Ричард Целникер	As Night Comes	0	['Люк Бэйнс', 'Myko Olivier']
2017	111	0.0	Баллада о Лефти Брауне	Джаред Моше	The Ballad of Lefty Brown	0	['Билл Пуллман', 'Питер Фонда']
2014	0	0.0	Wheels	Тим Гальярдо	115 мин	0	['Донаван Томас', 'Патрик Хьюм']
2012	0	0.0	Hating Breitbart	Andrew Marcus	85 мин	0	['Эндрю Брейтбарт', 'Орсон Бин']
2016	98	0.0	ЛБД	Роб Райнер	LBJ	0	['Дженнифер Джейсон Ли', 'Вуди Харрельсон']
2017	107	0.0	Мой друг Дамер	Марк Мейерс	My Friend Dahmer	0	['Росс Линч', 'Энн Хеч']
2016	0	0.0	Без оплаты, с обнаженкой	Ли Уилкоф	No Pay	0	['Донна Мерфи', 'Нэйтан Лейн']
2016	93	0.0	Мы – X	Стивен Кижак	We Are X	0	['Ёсики Хаяси', 'Тоши']
2017	108	0.0	Профессор Марстон и Чудо-женщины	Анджела Робинсон	Professor Marston and the Wonder Women	0	['Люк Эванс', 'Ребекка Холл']
2017	119	0.0	Форма воды	Гильермо дель Торо	The Shape of Water	0	['Салли Хокинс', 'Майкл Шеннон']
2017	134	0.0	Ферма «Мадбаунд»	Ди Риис	Mudbound	0	['Гаррет Хедлунд', 'Кэри Маллиган']
2017	116	0.0	Предрассветная молитва	Жан-Стефан Совер	A Prayer Before Dawn	0	['Джо Коул', 'Витхая Пансрингарм']
2016	0	0.0	Precious Mettle	Edmond G Coisson	90 мин	0	['Фиона Дуриф', 'Пол Сорвино']
2014	84	0.0	Продолжай идти дальше	Алан Хикс	Keep on Keepin' On	0	['Кэнди', 'Терри Лайн Керрингтон']
2017	103	0.0	Горе-творец	Джеймс Франко	The Disaster Artist	0	['Джеймс Франко', 'Дэйв Франко']
2013	79	7.889	Новобрачный	Линда Бладуорф-Томасон	Bridegroom	98	['Саша Андреев', 'Cindy Bitney']
2012	79	0.0	Могущественная красота	Дэбби Гудштейн	Mighty Fine	0	['Чазз Пальминтери', 'Энди МакДауэлл']
2014	0	0.0	The Reckoning	Джеймс МакДональд	32 мин	0	['Кристин Барнхарт', 'Билл Флинн']
2017	116	7.705	Сильнее	Дэвид Гордон Грин	Stronger	149	['Джейк Джилленхол', 'Татьяна Маслани']
2016	0	0.0	Мрачные игры	Чарльз Хаге	Dark Games	0	['Бу Бу Стюарт', 'Хезер Токуини']
2015	90	7.631	Меру	Джимми Чин	Meru	228	['Конрад Анкер', 'Грэйс Чин']
2015	100	0.0	Расселл Брэнд: второе пришествие	Онди Тимонер	Brand: A Second Coming	0	['Саймон Амстелл', 'Andrew Antonio']
2014	0	7.533	Как воскресенье, так дождь	Фрэнк Уэйли	Like Sunday	157	['Лейтон Мистер', 'Джулиан Шатки']
2013	130	7.529	Мы крадем секреты: История WikiLeaks	Алекс Гибни	We Steal Secrets: The Story of WikiLeaks	67	"[""John 'FuzzFace' McMahon"", 'Алекс Гибни']"
2017	143	0.0	Детройт	Кэтрин Бигелоу	Detroit	0	['Джон Бойега', 'Уилл Поултер']
2017	93	0.0	Леди Птица	Грета Гервиг	Lady Bird	0	['Сирша Ронан', 'Одейя Раш']
2017	114	0.0	Лос-Анджелес 92	Дэниэл Линдсэй	LA 92	0	['Генри Альфаро', 'Danny Bakewell']
2014	0	0.0	Cocaine Cowboys: Reloaded	Билли Корбен	152 мин	0	['851357', '']
2012	95	0.0	Вершина	Ник Райан	The Summit	0	['Christine Barnes', 'Hoselito Bite']
2017	111	0.0	Проект «Флорида»	Шон Бэйкер	The Florida Project	0	['Уиллем Дефо', 'Бруклин Принс']
2014	107	0.0	Уайти: США против Джеймса Дж. Балджера	Джо Берлингер	Whitey: United States of America v. James J. Bulger	0	"['Stephen Rakes', ""Джеймс 'Уайти' Балджер""]"
2014	0	7.418	Электрическое Бугало: Дикая, нерассказанная история Cannon Films	Марк Хартли	Electric Boogaloo: The Wild	112	['Менахем Голан', 'Йорам Глобус']
2012	94	7.407	Перевоплощённый	Энди Каппер	Reincarnated	85	['Theocracy Reign Ivine Order of the Nyahbinghi', 'Др. Дре']
2017	108	0.0	Патти Кейкс	Джереми Джаспер	Patti Cake$	0	['Даниэль МакДональд', 'Бриджет Эверетт']
2015	0	0.0	3&#189; Minutes, Ten Bullets	Марк Сильвер	98 мин	0	['Lucia McBath', 'Ron Davis']
2017	121	0.0	Убийство священного оленя	Йоргос Лантимос	The Killing of a Sacred Deer	0	['Николь Кидман', 'Алисия Сильверстоун']
2017	108	0.0	Спасибо за вашу службу	Джейсон Холл	Thank You for Your Service	0	['Хейли Беннетт', 'Майлз Теллер']
2012	0	0.0	Don't Stop Believin': Everyman's Journey	Рамона С. Диаз	105 мин	0	['Джонатан Кэйн', 'Кэтрин Хайгл']
2014	90	0.0	Стрип-группа La Bare	Джо Манганьелло	La Bare	0	['Дорман Дай', 'Джо Манганьелло']
2015	110	7.306	Де Пальма	Ноа Баумбак	De Palma	176	['Брайан Де Пальма', '535347']
2013	83	0.0	Это Мартин Боннэр	Чед Хартиган	This Is Martin Bonner	0	['Пол Инхорн', 'Деметриус Гросс']
2016	119	0.0	Путешествие – это цель	Бронуэн Хьюз	The Journey Is the Destination	0	['Келли Макдоналд', 'Элла Пернелл']
2015	0	0.0	Крокодил Геннадий	Стив Хувер	96 мин	0	['Геннадий Мохненко', '792289']
2014	120	7.249	Сама жизнь	Стив Джеймс	Life Itself	212	['Мартин Скорсезе', 'Вернер Херцог']
2012	101	0.0	Бетти Пейдж раскрывает все	Марк Мори	Bettie Page Reveals All	0	['Бетти Пейдж', 'Дита Фон Тиз']
2014	111	0.0	Келли и Кэл	Джен Макгоун	Kelly & Cal	0	['Джульетт Льюис', 'Джонни Уэстон']
2017	113	7.103	Иностранец	Мартин Кэмпбелл	The Foreigner	210	['Кэти Льюнг', 'Джеки Чан']
2014	87	0.0	Фантом Гало	Антония Богданович	Phantom Halo	0	['Ребекка Ромейн', 'Томас Сэнгстер']
2013	75	7.094	Кевин Харт: Дайте объяснить	Лесли Смолл	Kevin Hart: Let Me Explain	147	['Кевин Харт', 'Harry Ratchford']
2014	104	0.0	Семь пять	Тиллер Расселл	The Seven Five	0	['Майкл Дауд', 'Ken Eurell']
2015	128	7.075	Стив Джобс: Человек в машине	Алекс Гибни	Steve Jobs: The Man in the Machine	236	['Bob Belleville', 'Chrisann Brennan']
2015	96	0.0	Город Голда	Лаура Габберт	City of Gold	0	['Дэвид Чанг', 'Jonathan Gold']
2012	137	0.0	Любовь, написанная кровью		Love Written in Blood	0	['Эшер Холлоуэй', 'Захари Фокс']
2017	0	0.0	Взлом	Шон Картер	Keep Watching	0	['Белла Торн', 'Йоан Гриффит']
2017	0	0.0	Американский сатана	Эш Эвилдсен	American Satan	0	['Бу Бу Стюарт', 'Джон Брэдли']
2016	0	0.0	Alive and Kicking	Susan Glatzer	88 мин	0	['Хилари Александр', 'Эвита Арсе']
2016	96	0.0	В понедельник, в 11:01 утра	Харви Лоури	Monday at 11:01 A.M.	0	['Чарльз Агрон', 'Robin Acker']
2017	0	0.0	Любовь сбивает с рифмы	RZA	Love Beats Rhymes	0	['Хана Мэй Ли', 'Джон Дэвид Вашингтон']
2012	0	0.0	Всего в 45 минутах от Бродвея	Генри Джеглом	Just 45 Minutes from Broadway	0	['Танна Фредерик', 'Джадд Нельсон']
2017	0	0.0	You Can't Have It	Андре Гордон	86 мин	0	['Matthew Pohlkamp', 'Джоанна Крупа']
2014	0	0.0	My Name Is Nobody	Phillip Penza	115 мин	0	['Phillip Penza', 'Audrey Beth']
2017	108	6.964	Последнее слово	Марк Пеллингтон	The Last Word	462	['Ширли МакЛейн', 'Аманда Сайфред']
2017	90	0.0	Горячие штучки	Кристофер Робин Худ	Dirty Dealing 3D	0	['Майкл Мэдсен', 'Фрида Шоу']
2013	82	6.932	Милашка и боксер	Захари Хейнзерлинг	Cutie and the Boxer	90	['Норико Синохара', 'Усио Синохара']
2013	124	6.931	Ложь Армстронга	Алекс Гибни	The Armstrong Lie	327	['Рид Альберготти', 'Бетси Андре']
2013	81	6.922	Саломея	Аль Пачино	Salomé	334	['Кевин Андерсон', 'Джессика Честейн']
2014	94	0.0	Старые денечки	Майкл Розенбаум	Back in the Day	0	['Морена Баккарин', 'Даниэль Бисутти']
2013	108	0.0	Неизбежное поражение Мистера и Пита	Джордж Тиллман мл.	The Inevitable Defeat of Mister & Pete	0	['Скайлан Брукс', 'Этан Дизон']
2017	98	6.865	Ингрид едет на Запад	Мэттью Спайсер	Ingrid Goes West	210	['Обри Плаза', 'Элизабет Олсен']
2016	98	0.0	Конгрессмен	Джаред Мартин	The Congressman	0	['Трит Уильямс', 'Элизабет Марвел']
2012	89	6.852	Без всякой причины	Чарли Пол	For No Good Reason	70	['Ральф Стэдмен', 'Джонни Депп']
2014	117	0.0	Ламберт и Стэмп	Джеймс Д. Купер	Lambert & Stamp	0	['Ричард Барнс', 'Ричи Блэкмор']
2016	96	6.824	Винер	Джош Кригман	Weiner	133	['Энтони Уэйнер', 'Huma Abedin']
2014	103	6.824	Розовая вода	Джон Стюарт	Rosewater	91	['Гаэль Гарсиа Берналь', 'Ким Бодния']
2016	110	0.0	Глисон	Клэй Твил	Gleason	0	['Стив Глисон', 'Mike Gleason']
2012	150	6.791	Запад Мемфиса	Эми Берг	West of Memphis	141	['Майкл Баден', 'Джейсон Болдуин']
2015	0	0.0	Finders Keepers	Брайан Карберри	82 мин	0	['Shannon Whisnant', 'John Wood']
2012	86	0.0	Чужеродный рассвет	Нил Джонсон	Alien Dawn	0	['Рейчел Димария', 'Алекс Белл']
2013	90	0.0	Американский молочный коктейль	Давид Анадльман	American Milkshake	0	['Лео Фицпатрик', 'Тайлер Росс']
2014	85	6.713	Гэбриэл	Лу Хоу	Gabriel	194	['Рори Калкин', 'Линн Коэн']
2014	95	0.0	Парень встречает девушку	Эрик Шеффер	Boy Meets Girl	0	['Мишель Хендли', 'Александра Туршен']
2014	92	0.0	Матч	Стефен Белбер	Match	0	['Янис Машебёф', 'Патрик Стюарт']
2016	107	6.67	Исключение	Давид Лево	The Exception	301	['Лили Джеймс', 'Джай Кортни']
2015	87	0.0	Лучшие враги	Роберт Гордон	Best of Enemies	0	['Пол Ньюман', 'Келси Грэммер']
2015	110	0.0	Папа: Хемингуэй на Кубе	Боб Яри	Papa Hemingway in Cuba	0	['Джованни Рибизи', 'Джоэли Ричардсон']
2014	99	0.0	Открытый секрет	Эми Берг	An Open Secret	0	['Evan Henzi', 'Michael Egan III']
2017	90	0.0	11 сентября	Мартин Гиги	9/11	0	['Чарли Шин', 'Вупи Голдберг']
2013	73	6.665	Долбанутые	Зак Келлер	Dick Figures: The Movie	110	['Эд Скаддер', 'Зак Келлер']
2015	90	6.66	Волчья стая	Кристал Мосилль	The Wolfpack	353	['Бхагаван Ангуло', 'Говинда Ангуло']
2012	83	6.658	Пока мы были здесь	Кэт Койро	And While We Were Here	179	['Кейт Босворт', 'Джейми Блэкли']
2013	96	6.654	Горящая синева	D.M.W. Greer	Burning Blue	307	['Трент Форд', 'Тэмми Бланчард']
2016	107	6.645	Неруда	Пабло Ларраин	Neruda	112	['Луис Ньекко', 'Гаэль Гарсиа Берналь']
2012	94	0.0	Миром правит толстый мальчик	Мэттью Лиллард	Fat Kid Rules the World	0	['Джакоб Уайсоки', 'Мэтью О’Лири']
2015	84	6.622	Безопасное освещение	Тони Алупис	Safelight	302	['Эван Питерс', 'Джуно Темпл']
2016	89	6.609	Смотри по сторонам	Крис Пековер	Better Watch Out	415	['Оливия ДеДжонг', 'Леви Миллер']
2013	90	0.0	Доверься мне	Кларк Грегг	Trust Me	0	['Кларк Грегг', 'Фелисити Хаффман']
2012	80	0.0	Кухня	Ишай Сеттон	The Kitchen	0	['Лора Припон', 'Брайан Гринберг']
2012	0	0.0	В улье	Роберт Таунзенд	In the Hive	0	['Майкл Кларк Дункан', 'Лоретта Дивайн']
2017	238	0.0	Долгое странное путешествие	Амир Бар-Лев	Long Strange Trip	0	['Джон Перри Барлоу', 'Tom Constanten']
2016	90	0.0	Космонавт	Бретт Рэпкин	Spaceman	0	['Джош Дюамель', 'У. Эрл Браун']
2013	84	0.0	Необычные раскопки	Дастин Рикерт	Dug Up	0	['Пол МакКарти-Бойингтон', 'Уильям Шокли']
2013	98	0.0	Последнее, что я слышал	Дэйв Родригез	Last I Heard	0	['Пол Сорвино', 'Майкл Рапапорт']
2012	97	6.491	Эден	Меган Гриффитс	Eden	150	['Джейми Чанг', 'Мэтью О’Лири']
2017	88	6.476	Единственный живой парень в Нью-Йорке	Марк Уэбб	The Only Living Boy in New York	257	['Каллум Тернер', 'Джефф Бриджес']
2013	103	6.475	Наркокультура	Шол Шварц	Narco Cultura	118	['731267', '']
2015	88	0.0	Враждебная граница	Майкл Двайер	Pocha: Manifest Destiny	0	['Вероника Сикстос', 'Хулио Седильо']
2012	130	6.435	Фундаменталист поневоле	Мира Наир	The Reluctant Fundamentalist	375	['Риз Ахмед', 'Кейт Хадсон']
2014	0	0.0	Korengal	Себастьян Юнгер	84 мин	0	['ЛаМонта Колдуэлл', 'Мигель Кортез']
2012	80	0.0	Филли Браун	Юссеф Делара	Filly Brown	0	['Джина Родригез', 'Khool-Aid Rios']
2015	93	0.0	Холод	Расселл Фриденберг	Wind Walkers	0	['Глен Пауэлл', 'Руди Янгблад']
2016	92	0.0	Лондон-Таун	Деррик Борте	London Town	0	['Том Хьюз', 'Джонатан Риз Майерс']
2016	98	6.355	Реальный Рокки	Филипп Фалардо	The Bleeder	226	['Элизабет Мосс', 'Наоми Уоттс']
2012	87	0.0	Нахальные трусики	Коли Сон	Sassy Pants	0	['Анна Ганн', 'Эшли Рикардс']
2017	0	0.0	Жажда смерти	Элай Рот	Death Wish	0	['Брюс Уиллис', 'Винсент Д’Онофрио']
2017	105	0.0	Субурбикон	Джордж Клуни	Suburbicon	0	['Стив Монро', 'Gavin Wilde']
2016	0	0.0	Under the Gun	Stephanie Soechtig	110 мин	0	['Кэти Курик', 'Тед Крус']
2012	0	0.0	Death Metal Angola	Джереми Ксидо	90 мин	0	['Соня Феррейра', 'Вилкер Флорес']
2014	95	0.0	Химическая чистка	Хэнк Брэкстэн	Chemical Peel	0	['Натали Виктория', 'Ариэль Брачфелд']
2017	93	6.329	Герой	Бретт Хейли	The Hero	124	['Кристен Риттер', 'Лора Припон']
2014	98	6.327	Любовь – странная штука	Айра Сакс	Love Is Strange	283	['Альфред Молина', 'Джон Литгоу']
2016	106	6.325	Пастыри и палачи	Оливер Шмитц	Shepherds and Butchers	151	['Андреа Райзборо', 'Стив Куган']
2012	94	6.297	Урок от дяди Винсента	Шелдон Кэндис	LUV	165	['Майкл Рейни мл.', 'Трэйси Хеггинс']
2015	85	6.286	Джеймс Уайт	Джош Монд	James White	235	['Кристофер Эбботт', 'Синтия Никсон']
2012	112	6.256	Не исчезай	Дэвид Чейз	Not Fade Away	71	['Джон Магаро', 'Джек Хьюстон']
2013	94	6.255	Спасатель	Лиз В. Гарсиа	The Lifeguard	188	['Кристен Белл', 'Мэми Гаммер']
2014	108	6.252	Уважаемые белые люди	Джастин Симиен	Dear White People	189	['Тайлер Джеймс Уильямс', 'Тесса Томпсон']
2012	89	0.0	Айсберг Слим: Портрет сутенера	Хорхе Инохоса	Iceberg Slim: Portrait of a Pimp	0	['Betty Beck', 'Camille Beck']
2012	100	6.247	Выборы-выборы	Стивен Джилленхол	Grassroots	149	['Джейсон Биггз', 'Джоэль Мур']
2016	80	6.246	Кроссы	Джастин Типпинг	Kicks	444	['Джакинг Гиллори', 'Кристофер Джордан Уоллес']
2016	96	0.0	Кевин Харт: Что теперь?	Лесли Смолл	Kevin Hart: What Now?	0	['Кевин Харт', 'Холли Берри']
2015	83	6.24	Криша	Трей Эдвард Шульц	Krisha	295	['Криша Фэйрчайлд', 'Алекс Добренко']
2012	79	0.0	Зов природы	Тодд Роэл	Nature Calls	0	['Мора Тирни', 'Джонни Ноксвил']
2017	120	6.235	Мозг Гиммлера зовется Гейдрихом	Седрик Жименес	HHhH	266	['Розамунд Пайк', 'Миа Васиковска']
2013	91	6.232	Расшифровка Энни Паркер	Стивен Бернстин	Decoding Annie Parker	57	['Хелен Хант', 'Саманта Мортон']
2015	101	6.222	Джейн хочет бойфренда	Уилльям Салливан	Jane Wants a Boyfriend	153	['Луиса Краузе', 'Гэбриел Эберт']
2017	98	0.0	Убить за лайк	Тайлер МакИнтайр	Tragedy Girls	0	['Джош Хатчерсон', 'Брианна Хилдебранд']
2014	88	0.0	Холлидейсберг	Анна Мартемуччи	Hollidaysburg	0	['Рэйчел Келлер', 'Тобин Митник']
2015	100	6.197	В погоне за Майлзом	Дон Чидл	Miles Ahead	489	['Дон Чидл', 'Юэн МакГрегор']
2013	92	6.197	Божье дитя	Кайл Патрик Альварез	C.O.G.	99	['Джонатан Грофф', 'Дэнис О’Хэр']
2014	102	6.188	Поселенцы (видео)	Мартин Вайз	Squatters	447	['Габриэлла Уайлд', 'Томас Деккер']
2017	106	6.169	Горы и камни	Джозеф Рубин	The Ottoman Lieutenant	279	['Михил Хаушман', 'Гера Хилмарсдоттир']
2013	97	6.163	Везунчики	Меган Гриффитс	Lucky Them	167	['Тони Коллетт', 'Томас Хейден Чёрч']
