	director	duration_min	rating	vote_count	year	main_actors	name_rus	name_eng
199	Кевин Гетц	86	6.6160000000000005	1694	2013	['Джош Дюамель', 'Дэн Фоглер']	Живописный маршрут	Scenic Route
200	Джей Си Чендор	125	6.612	2862	2014	['Оскар Айзек', 'Джессика Честейн']	Самый жестокий год	A Most Violent Year
201	Тейлор Хэкфорд	118	6.604	40276	2012	['Джейсон Стэйтем', 'Дженнифер Лопез']	Паркер	Parker
202	Нил Бломкамп	109	6.602	96505	2013	['Мэтт Дэймон', 'Алиси Брага']	Элизиум: Рай не на Земле	Elysium
203	Дэвид Туи	119	6.601	60826	2013	['Вин Дизель', 'Хорди Молья']	Риддик	Riddick
204	Даниел Барнз	102	6.596	4689	2014	['Дженнифер Энистон', 'Адриана Барраса']	Торт	Cake
205	Дон Коскарелли	100	6.593999999999999	6569	2012	['Чейз Уильямсон', 'Роб Майес']	В финале Джон умрет	John Dies at the End
206	Тони МакНамара	103	6.593	14169	2015	['Микки Рурк', 'Нат Вулф']	Эшби	Ashby
207	Шон Леви	103	6.593	7589	2014	['Джейсон Бейтман', 'Тина Фей']	Дальше живите сами	This Is Where I Leave You
208	Афонсо Пойарт	101	6.5920000000000005	27423	2014	['Энтони Хопкинс', 'Колин Фаррелл']	Экстрасенсы	Solace
209	Чарльз Стрэттон	107	6.5920000000000005	915	2013	['Элизабет Олсен', 'Оскар Айзек']	Тереза Ракен	In Secret
210	Фредрик Бонд	103	6.591	16267	2013	['Шайа ЛаБаф', 'Эван Рэйчел Вуд']	Опасная иллюзия	The Necessary Death of Charlie Countryman
211	Дрейк Доримус	98	6.587999999999999	2323	2012	['Гай Пирс', 'Фелисити Джонс']	Полной грудью	Breathe In
212	Скотт Купер	123	6.586	42921	2015	['Джонни Депп', 'Джоэл Эдгертон']	Черная месса	Black Mass
213	Роуэн Жоффе	92	6.586	31585	2013	['Николь Кидман', 'Колин Фёрт']	Прежде чем я усну	Before I Go to Sleep
214	Антон Корбейн	122	6.586	16373	2014	['Филип Сеймур Хоффман', 'Рэйчел МакАдамс']	Самый опасный человек	A Most Wanted Man
215	Майкл Бэй	144	6.582999999999999	12299	2016	['Джон Красински', 'Джеймс Бэдж Дэйл']	13 часов: Тайные солдаты Бенгази	13 Hours
216	Пол Томас Андерсон	149	6.582000000000001	11163	2014	['Хоакин Феникс', 'Джош Бролин']	Врожденный порок	Inherent Vice
217	Майк МакКой	110	6.581	5664	2012	['Роселин Санчес', 'Джейсон Коттл']	Закон доблести	Act of Valor
218	Томми Виркола	87	6.579	73357	2012	['Джереми Реннер', 'Джемма Артертон']	Охотники на ведьм	Hansel & Gretel: Witch Hunters
219	Ноам Мурро	102	6.577000000000001	64809	2013	['Салливан Степлтон', 'Ева Грин']	300 спартанцев: Расцвет империи	300: Rise of an Empire
220	Джереми Солнье	95	6.577000000000001	6519	2015	['Антон Ельчин', 'Имоджен Путс']	Зеленая комната	Green Room
221	Джеймс Понсольдт	99	6.571000000000001	14951	2013	['Майлз Теллер', 'Шейлин Вудли']	Захватывающее время	The Spectacular Now
222	Майкл Шоуолтер	0	6.566	2451	2015	['Салли Филд', 'Edmund Lupinski']	Здравствуйте, меня зовут Дорис	Hello
223	Люк Гринфилд	105	6.564	32174	2014	['Дэймон Уайанс мл.', 'Джейк Джонсон']	Типа копы	Let's Be Cops
224	Николас Джареки	107	6.562	11247	2012	['Ричард Гир', 'Сьюзен Сарандон']	Порочная страсть	Arbitrage
225	Джоди Фостер	98	6.559	21352	2016	['Джордж Клуни', 'Джулия Робертс']	Финансовый монстр	Money Monster
226	Скотт Манн	92	6.556	15959	2015	['Джеффри Дин Морган', 'Роберт Де Ниро']	Скорость: Автобус 657	Heist
227	Томми Виркола	101	6.551	5938	2014	['Вегар Хуль', 'Орхан Гамст']	Операция «Мертвый снег» 2	Død snø 2
